จังหวัด,เขต,ชุดที่,บัตรดี,บัตรเสีย,บัตรที่ไม่เลือก,หมายเลข,พรรค,คะแนน
นครศรีธรรมราช,2,1,708,4,18,1,พรรคไทยทรัพย์ทวี,0
นครศรีธรรมราช,2,1,708,4,18,2,พรรคเพื่อชาติไทย,2
นครศรีธรรมราช,2,1,708,4,18,3,พรรคใหม่,0
นครศรีธรรมราช,2,1,708,4,18,4,พรรคมิติใหม่,0
นครศรีธรรมราช,2,1,708,4,18,5,พรรครวมใจไทย,0
นครศรีธรรมราช,2,1,708,4,18,6,พรรครวมไทยสร้างชาติ,7
นครศรีธรรมราช,2,1,708,4,18,7,พรรคพลวัต,1
นครศรีธรรมราช,2,1,708,4,18,8,พรรคประชาธิปไตยใหม่,1
นครศรีธรรมราช,2,1,708,4,18,9,พรรคเพื่อไทย,6
นครศรีธรรมราช,2,1,708,4,18,10,พรรคทางเลือกใหม่,2
นครศรีธรรมราช,2,1,708,4,18,11,พรรคเศรษฐกิจ,5
นครศรีธรรมราช,2,1,708,4,18,12,พรรคเสรีรวมไทย,2
นครศรีธรรมราช,2,1,708,4,18,13,พรรครวมพลังประชาชน,2
นครศรีธรรมราช,2,1,708,4,18,14,พรรคท้องที่ไทย,0
นครศรีธรรมราช,2,1,708,4,18,15,พรรคอนาคตไทย,0
นครศรีธรรมราช,2,1,708,4,18,16,พรรคพลังเพื่อไทย,0
นครศรีธรรมราช,2,1,708,4,18,17,พรรคไทยชนะ,0
นครศรีธรรมราช,2,1,708,4,18,18,พรรคพลังสังคมใหม่,0
นครศรีธรรมราช,2,1,708,4,18,19,พรรคสังคมประชาธิปไตย,0
นครศรีธรรมราช,2,1,708,4,18,20,พรรคฟิวชัน,0
นครศรีธรรมราช,2,1,708,4,18,21,พรรคไทรวมพลัง,0
นครศรีธรรมราช,2,1,708,4,18,22,พรรคก้าวอิสระ,0
นครศรีธรรมราช,2,1,708,4,18,23,พรรคปวงชนไทย,0
นครศรีธรรมราช,2,1,708,4,18,24,พรรควิชชั่นใหม่,0
นครศรีธรรมราช,2,1,708,4,18,25,พรรคเพื่อชีวิตใหม่,0
นครศรีธรรมราช,2,1,708,4,18,26,พรรคคลองไทย,0
นครศรีธรรมราช,2,1,708,4,18,27,พรรคประชาธิปัตย์,182
นครศรีธรรมราช,2,1,708,4,18,28,พรรคไทยก้าวหน้า,2
นครศรีธรรมราช,2,1,708,4,18,29,พรรคไทยภักดี,4
นครศรีธรรมราช,2,1,708,4,18,30,พรรคแรงงานสร้างชาติ,0
นครศรีธรรมราช,2,1,708,4,18,31,พรรคประชากรไทย,0
นครศรีธรรมราช,2,1,708,4,18,32,พรรคครูไทยเพื่อประชาชน,0
นครศรีธรรมราช,2,1,708,4,18,33,พรรคประชาชาติ,0
นครศรีธรรมราช,2,1,708,4,18,34,พรรคสร้างอนาคตไทย,0
นครศรีธรรมราช,2,1,708,4,18,35,พรรครักชาติ,0
นครศรีธรรมราช,2,1,708,4,18,36,พรรคไทยพร้อม,0
นครศรีธรรมราช,2,1,708,4,18,37,พรรคภูมิใจไทย,68
นครศรีธรรมราช,2,1,708,4,18,38,พรรคพลังธรรมใหม่,0
นครศรีธรรมราช,2,1,708,4,18,39,พรรคกรีน,0
นครศรีธรรมราช,2,1,708,4,18,40,พรรคไทยธรรม,1
นครศรีธรรมราช,2,1,708,4,18,41,พรรคแผ่นดินธรรม,0
นครศรีธรรมราช,2,1,708,4,18,42,พรรคกล้าธรรม,4
นครศรีธรรมราช,2,1,708,4,18,43,พรรคพลังประชารัฐ,0
นครศรีธรรมราช,2,1,708,4,18,44,พรรคโอกาสใหม่,0
นครศรีธรรมราช,2,1,708,4,18,45,พรรคเป็นธรรม,0
