จังหวัด,เขตเลือกตั้งที่,ตำบล,อำเภอ,หน่วยเลือกตั้งที่,หมู่ที่,จำนวนผู้มีสิทธิเลือกตั้ง,จำนวนผู้มาแสดงตน,จำนวนบัตรที่ได้รับจัดสรร,จำนวนบัตรที่ใช้,จำนวนบัตรดี,จำนวนบัตรเสีย,จำนวนบัตรที่ไม่เลือกผู้สมัคร,จำนวนบัตรคงเหลือ,หมายเลข,ชื่อสกุล,พรรค,คะแนน
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,130,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,186
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,130,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,11
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,130,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,79
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,130,4,นายเจริญ ชินวงศ์,กล้าธรรม,9
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,130,5,นายจรยุทธ มาศบำรุง,ประชาชน,61
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,130,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,130,7,นายปัญโน หวานนุรักษ์,พลวัต,4
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,130,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,130,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,130,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,10,6,500,319,500,319,283,4,32,181,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,107
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,10,6,500,319,500,319,283,4,32,181,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,16
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,10,6,500,319,500,319,283,4,32,181,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,88
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,10,6,500,319,500,319,283,4,32,181,4,นายเจริญ ชินวงศ์,กล้าธรรม,18
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,10,6,500,319,500,319,283,4,32,181,5,นายจรยุทธ มาศบำรุง,ประชาชน,48
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,10,6,500,319,500,319,283,4,32,181,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,3
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,10,6,500,319,500,319,283,4,32,181,7,นายปัญโน หวานนุรักษ์,พลวัต,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,10,6,500,319,500,319,283,4,32,181,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,10,6,500,319,500,319,283,4,32,181,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,10,6,500,319,500,319,283,4,32,181,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,11,6,510,362,500,362,307,12,43,137,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,174
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,11,6,510,362,500,362,307,12,43,137,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,9
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,11,6,510,362,500,362,307,12,43,137,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,62
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,11,6,510,362,500,362,307,12,43,137,4,นายเจริญ ชินวงศ์,กล้าธรรม,10
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,11,6,510,362,500,362,307,12,43,137,5,นายจรยุทธ มาศบำรุง,ประชาชน,44
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,11,6,510,362,500,362,307,12,43,137,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,3
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,11,6,510,362,500,362,307,12,43,137,7,นายปัญโน หวานนุรักษ์,พลวัต,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,11,6,510,362,500,362,307,12,43,137,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,11,6,510,362,500,362,307,12,43,137,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,11,6,510,362,500,362,307,12,43,137,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,12,7,597,425,580,425,359,21,45,155,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,186
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,12,7,597,425,580,425,359,21,45,155,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,16
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,12,7,597,425,580,425,359,21,45,155,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,93
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,12,7,597,425,580,425,359,21,45,155,4,นายเจริญ ชินวงศ์,กล้าธรรม,7
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,12,7,597,425,580,425,359,21,45,155,5,นายจรยุทธ มาศบำรุง,ประชาชน,46
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,12,7,597,425,580,425,359,21,45,155,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,4
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,12,7,597,425,580,425,359,21,45,155,7,นายปัญโน หวานนุรักษ์,พลวัต,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,12,7,597,425,580,425,359,21,45,155,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,5
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,12,7,597,425,580,425,359,21,45,155,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,12,7,597,425,580,425,359,21,45,155,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,13,8,515,376,500,376,348,8,20,124,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,161
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,13,8,515,376,500,376,348,8,20,124,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,10
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,13,8,515,376,500,376,348,8,20,124,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,115
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,13,8,515,376,500,376,348,8,20,124,4,นายเจริญ ชินวงศ์,กล้าธรรม,16
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,13,8,515,376,500,376,348,8,20,124,5,นายจรยุทธ มาศบำรุง,ประชาชน,42
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,13,8,515,376,500,376,348,8,20,124,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,13,8,515,376,500,376,348,8,20,124,7,นายปัญโน หวานนุรักษ์,พลวัต,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,13,8,515,376,500,376,348,8,20,124,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,13,8,515,376,500,376,348,8,20,124,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,13,8,515,376,500,376,348,8,20,124,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,14,9,566,407,520,407,362,15,30,113,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,185
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,14,9,566,407,520,407,362,15,30,113,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,10
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,14,9,566,407,520,407,362,15,30,113,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,111
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,14,9,566,407,520,407,362,15,30,113,4,นายเจริญ ชินวงศ์,กล้าธรรม,4
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,14,9,566,407,520,407,362,15,30,113,5,นายจรยุทธ มาศบำรุง,ประชาชน,45
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,14,9,566,407,520,407,362,15,30,113,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,14,9,566,407,520,407,362,15,30,113,7,นายปัญโน หวานนุรักษ์,พลวัต,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,14,9,566,407,520,407,362,15,30,113,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,2
