จังหวัด,เขตเลือกตั้งที่,ตำบล,อำเภอ,หน่วยเลือกตั้งที่,หมู่ที่,จำนวนผู้มีสิทธิเลือกตั้ง,จำนวนผู้มาแสดงตน,จำนวนบัตรที่ได้รับจัดสรร,จำนวนบัตรที่ใช้,จำนวนบัตรดี,จำนวนบัตรเสีย,จำนวนบัตรที่ไม่เลือกผู้สมัคร,จำนวนบัตรคงเหลือ,หมายเลข,พรรคการเมือง,คะแนน
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,1,พรรคไทยทรัพย์ทวี,3.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,2,พรรคเพื่อชาติไทย,1.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,3,พรรคใหม่,2.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,4,พรรคมิติใหม่,0.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,5,พรรครวมใจไทย,0.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,6,พรรครวมไทยสร้างชาติ,8.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,7,พรรคพลวัต,0.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,8,พรรคประชาธิปไตยใหม่,4.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,9,พรรคเพื่อไทย,10.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,10,พรรคทางเลือกใหม่,1.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,11,พรรคเศรษฐกิจ,4.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,12,พรรคเสรีรวมไทย,3.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,13,พรรครวมพลังประชาชน,1.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,14,พรรคท้องที่ไทย,0.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,15,พรรคอนาคตไทย,0.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,16,พรรคพลังเพื่อไทย,1.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,17,พรรคไทยชนะ,1.0
นครศรีธรรมราช,2.0,ตำบลเทศบาลตำบลบางจาก,เมือง,1,6.0,751.0,501.0,700.0,501,474,17,10.0,199.0,18,พรรคพลังสังคมใหม่,0.0
