จังหวัด,เขต,ชุดที่,บัตรดี,บัตรเสีย,บัตรที่ไม่เลือก,หมายเลข,พรรค,คะแนน
นครศรีธรรมราช,2,1,,,,1,1,0
นครศรีธรรมราช,2,1,,,,2,2,2
นครศรีธรรมราช,2,1,,,,3,3,0
นครศรีธรรมราช,2,1,,,,4,4,0
นครศรีธรรมราช,2,1,,,,5,5,0
นครศรีธรรมราช,2,1,,,,6,6,7
นครศรีธรรมราช,2,1,,,,7,7,1
นครศรีธรรมราช,2,1,,,,8,8,1
นครศรีธรรมราช,2,1,,,,9,9,6
นครศรีธรรมราช,2,1,,,,10,10,2
นครศรีธรรมราช,2,3,,,,11,11,5
นครศรีธรรมราช,2,3,,,,12,12,2
นครศรีธรรมราช,2,3,,,,13,13,2
นครศรีธรรมราช,2,3,,,,14,14,0
นครศรีธรรมราช,2,3,,,,15,15,0
นครศรีธรรมราช,2,3,,,,16,16,0
นครศรีธรรมราช,2,3,,,,17,17,0
นครศรีธรรมราช,2,3,,,,18,18,0
นครศรีธรรมราช,2,3,,,,19,19,0
นครศรีธรรมราช,2,3,,,,20,20,0
นครศรีธรรมราช,2,3,,,,21,21,0
นครศรีธรรมราช,2,3,,,,22,22,0
นครศรีธรรมราช,2,3,,,,23,23,0
นครศรีธรรมราช,2,3,,,,24,24,0
นครศรีธรรมราช,2,3,,,,25,25,0
นครศรีธรรมราช,2,3,,,,26,26,0
นครศรีธรรมราช,2,3,,,,27,27,182
นครศรีธรรมราช,2,3,,,,28,28,2
นครศรีธรรมราช,2,3,,,,29,29,4
นครศรีธรรมราช,2,3,,,,30,30,0
นครศรีธรรมราช,2,3,,,,31,31,0
นครศรีธรรมราช,2,3,,,,32,32,0
นครศรีธรรมราช,2,3,,,,33,33,0
นครศรีธรรมราช,2,3,,,,34,34,0
นครศรีธรรมราช,2,1,,,,35,35,0
นครศรีธรรมราช,2,1,,,,36,36,0
นครศรีธรรมราช,2,1,,,,37,37,68
นครศรีธรรมราช,2,1,,,,38,38,0
นครศรีธรรมราช,2,1,,,,39,39,0
นครศรีธรรมราช,2,1,,,,40,40,1
นครศรีธรรมราช,2,1,,,,41,41,0
นครศรีธรรมราช,2,1,,,,42,42,4
นครศรีธรรมราช,2,1,,,,43,43,0
นครศรีธรรมราช,2,1,,,,44,44,0
นครศรีธรรมราช,2,1,,,,45,45,0
นครศรีธรรมราช,2,1,,,,46,46,2
นครศรีธรรมราช,2,1,,,,47,47,1
นครศรีธรรมราช,2,1,,,,48,48,4
นครศรีธรรมราช,2,1,,,,49,49,0
นครศรีธรรมราช,2,1,,,,50,50,1
นครศรีธรรมราช,2,1,,,,51,51,0
นครศรีธรรมราช,2,1,,,,52,52,0
นครศรีธรรมราช,2,1,,,,53,53,0
นครศรีธรรมราช,2,1,,,,54,54,0
นครศรีธรรมราช,2,1,,,,55,55,0
