จังหวัด,เขตเลือกตั้งที่,ตำบล,อำเภอ,หน่วยเลือกตั้งที่,หมู่ที่,จำนวนผู้มีสิทธิเลือกตั้ง,จำนวนผู้มาแสดงตน,จำนวนบัตรที่ได้รับจัดสรร,จำนวนบัตรที่ใช้,จำนวนบัตรดี,จำนวนบัตรเสีย,จำนวนบัตรที่ไม่เลือกผู้สมัคร,จำนวนบัตรคงเหลือ,source_file,needs_review,validation_notes,หมายเลข,ชื่อสกุล,พรรค,คะแนน,match_method,match_score
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,41,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,136,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,41,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,11,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,41,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,79,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,41,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,4,นายเจริญ ชินวงศ์,กล้าธรรม,9,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,41,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,5,นายจรยุทธ มาศบำรุง,ประชาชน,61,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,41,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,1,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,41,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,7,นายปัญโน หวานนุรักษ์,พลวัต,4,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,41,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,2,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,41,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,1,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1,1,547,410,540,410,356,13,41,41,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,2,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10,6,500,399,500,399,,4,32,283,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,107,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10,6,500,399,500,399,,4,32,283,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,16,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10,6,500,399,500,399,,4,32,283,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,88,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10,6,500,399,500,399,,4,32,283,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,4,นายเจริญ ชินวงศ์,กล้าธรรม,18,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10,6,500,399,500,399,,4,32,283,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,5,นายจรยุทธ มาศบำรุง,ประชาชน,44,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10,6,500,399,500,399,,4,32,283,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,3,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10,6,500,399,500,399,,4,32,283,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,7,นายปัญโน หวานนุรักษ์,พลวัต,1,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10,6,500,399,500,399,,4,32,283,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,1,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10,6,500,399,500,399,,4,32,283,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,1,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10,6,500,399,500,399,,4,32,283,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,11,6,510,362,500,362,,,,367,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 11/5.18/149_0.jpg,YES,check1_fail: บัตรคงเหลือ=367 ≠ 500-362=138 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,174,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,11,6,510,362,500,362,,,,367,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 11/5.18/149_0.jpg,YES,check1_fail: บัตรคงเหลือ=367 ≠ 500-362=138 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,9,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,11,6,510,362,500,362,,,,367,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 11/5.18/149_0.jpg,YES,check1_fail: บัตรคงเหลือ=367 ≠ 500-362=138 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,62,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,11,6,510,362,500,362,,,,367,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 11/5.18/149_0.jpg,YES,check1_fail: บัตรคงเหลือ=367 ≠ 500-362=138 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,4,นายเจริญ ชินวงศ์,กล้าธรรม,10,number,100
