จังหวัด,เขตเลือกตั้งที่,ตำบล,อำเภอ,หน่วยเลือกตั้งที่,หมู่ที่,จำนวนผู้มีสิทธิเลือกตั้ง,จำนวนผู้มาแสดงตน,จำนวนบัตรที่ได้รับจัดสรร,จำนวนบัตรที่ใช้,จำนวนบัตรดี,จำนวนบัตรเสีย,จำนวนบัตรที่ไม่เลือกผู้สมัคร,จำนวนบัตรคงเหลือ,source_file,needs_review,validation_notes,หมายเลข,ชื่อสกุล,พรรค,คะแนน,match_method,match_score
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1.0,1.0,547.0,410.0,540.0,410.0,356.0,13.0,41.0,41.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,1.0,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,136.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1.0,1.0,547.0,410.0,540.0,410.0,356.0,13.0,41.0,41.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,2.0,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,11.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1.0,1.0,547.0,410.0,540.0,410.0,356.0,13.0,41.0,41.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,3.0,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,79.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1.0,1.0,547.0,410.0,540.0,410.0,356.0,13.0,41.0,41.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,4.0,นายเจริญ ชินวงศ์,กล้าธรรม,9.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1.0,1.0,547.0,410.0,540.0,410.0,356.0,13.0,41.0,41.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,5.0,นายจรยุทธ มาศบำรุง,ประชาชน,61.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1.0,1.0,547.0,410.0,540.0,410.0,356.0,13.0,41.0,41.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,6.0,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,1.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1.0,1.0,547.0,410.0,540.0,410.0,356.0,13.0,41.0,41.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,7.0,นายปัญโน หวานนุรักษ์,พลวัต,4.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1.0,1.0,547.0,410.0,540.0,410.0,356.0,13.0,41.0,41.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,8.0,นายทศพร แซ่ซิ้น,เศรษฐกิจ,2.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1.0,1.0,547.0,410.0,540.0,410.0,356.0,13.0,41.0,41.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,9.0,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,1.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,1.0,1.0,547.0,410.0,540.0,410.0,356.0,13.0,41.0,41.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 1/5.18/สส-1.jpg,YES,check1_fail: บัตรคงเหลือ=41 ≠ 540-410=130 | check3_fail: รวมคะแนน=306 ≠ บัตรดี=356,10.0,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,2.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10.0,6.0,500.0,399.0,500.0,399.0,,4.0,32.0,283.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,1.0,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,107.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10.0,6.0,500.0,399.0,500.0,399.0,,4.0,32.0,283.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,2.0,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,16.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10.0,6.0,500.0,399.0,500.0,399.0,,4.0,32.0,283.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,3.0,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,88.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10.0,6.0,500.0,399.0,500.0,399.0,,4.0,32.0,283.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,4.0,นายเจริญ ชินวงศ์,กล้าธรรม,18.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10.0,6.0,500.0,399.0,500.0,399.0,,4.0,32.0,283.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,5.0,นายจรยุทธ มาศบำรุง,ประชาชน,44.0,number,100
นครศรีธรรมราช,2,กำแพงเซา,เมือง,10.0,6.0,500.0,399.0,500.0,399.0,,4.0,32.0,283.0,data/raw_jpg/ตำบลกำแพงเซา/หน่วยเลือกตั้งที่ 10/5.18/1770580270107-2d2caf61-35f7-45bf-ab6f-47013b57ac1f.jpg,YES,check1_fail: บัตรคงเหลือ=283 ≠ 500-399=101 | check2_skip: ข้อมูลบัตรไม่ครบ | check3_skip: ข้อมูลไม่ครบ,6.0,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,3.0,number,100
